source,target,distance,time,edge_type
1,2,110,105,מדרגות
2,1,110,105,מדרגות
2,3,30,30,מסדרון
3,2,30,30,מסדרון
2,18,10,14,מסדרון
18,2,10,14,מסדרון
2,19,20,30,מדרגות
19,2,20,30,מדרגות
16,17,45,40,מסדרון
17,16,45,40,מסדרון
17,9,35,30,מסדרון
9,17,35,30,מסדרון
9,10,10,7,מסדרון
10,9,10,7,מסדרון
10,14,19,18,מסדרון
14,10,19,18,מסדרון
14,15,180,128,מסדרון
15,14,180,128,מסדרון
20,8,8,17,מסדרון
8,20,8,17,מסדרון
20,6,16,13,מסדרון
6,20,16,13,מסדרון
6,13,24,23,מסדרון
13,6,24,23,מסדרון
6,7,9,8,מסדרון
7,6,9,8,מסדרון
7,11,27,29,מסדרון
11,7,27,29,מסדרון
11,12,8,9,מסדרון
12,11,8,9,מסדרון
12,9,25,25,מסדרון
9,12,25,25,מסדרון
47,46,9,8,מסדרון
46,47,9,8,מסדרון
23,47,10,8,מסדרון
47,23,10,8,מסדרון
18,19,12,10,מדרגות
19,18,12,10,מדרגות
19,20,12,10,מדרגות
20,19,12,10,מדרגות
20,21,12,10,מדרגות
21,20,12,10,מדרגות
21,22,12,10,מדרגות
22,21,12,10,מדרגות
22,23,12,10,מדרגות
23,22,12,10,מדרגות
19,24,8,13,מסדרון
24,19,8,13,מסדרון
24,25,4,5,מסדרון
25,24,4,5,מסדרון
25,26,4,5,מסדרון
26,25,4,5,מסדרון
26,27,4,5,מסדרון
27,26,4,5,מסדרון
21,28,8,13,מסדרון
28,21,8,13,מסדרון
28,29,4,5,מסדרון
29,28,4,5,מסדרון
29,30,4,5,מסדרון
30,29,4,5,מסדרון
30,31,4,5,מסדרון
31,30,4,5,מסדרון
31,32,4,5,מסדרון
32,31,4,5,מסדרון
32,33,4,5,מסדרון
33,32,4,5,מסדרון
33,34,4,5,מסדרון
34,33,4,5,מסדרון
34,35,4,5,מסדרון
35,34,4,5,מסדרון
35,36,4,5,מסדרון
36,35,4,5,מסדרון
22,37,8,13,מסדרון
37,22,8,13,מסדרון
37,38,4,5,מסדרון
38,37,4,5,מסדרון
38,39,4,5,מסדרון
39,38,4,5,מסדרון
39,40,4,5,מסדרון
40,39,4,5,מסדרון
40,41,4,5,מסדרון
41,40,4,5,מסדרון
41,42,4,5,מסדרון
42,41,4,5,מסדרון
42,43,4,5,מסדרון
43,42,4,5,מסדרון
43,44,4,5,מסדרון
44,43,4,5,מסדרון
44,45,4,5,מסדרון
45,44,4,5,מסדרון
18,48,2,5,מסדרון
48,18,2,5,מסדרון
19,49,2,5,מסדרון
49,19,2,5,מסדרון
20,4,2,5,מסדרון
4,20,2,5,מסדרון
21,50,2,5,מסדרון
50,21,2,5,מסדרון
22,51,2,5,מסדרון
51,22,2,5,מסדרון
23,52,2,5,מסדרון
52,23,2,5,מסדרון
53,48,3,25,מעלית
48,53,3,25,מעלית
48,49,3,25,מעלית
49,48,3,25,מעלית
49,4,3,25,מעלית
4,49,3,25,מעלית
4,50,3,25,מעלית
50,4,3,25,מעלית
50,51,3,25,מעלית
51,50,3,25,מעלית
51,52,3,25,מעלית
52,51,3,25,מעלית
5,20,8,10,מסדרון
20,5,8,10,מסדרון
5,8,6,8,מסדרון
8,5,6,8,מסדרון
