id,name,floor,type,x,y,z_floor
1,שער גבעת מרדכי,-3,כניסה,-50,-90,-3
2,שער כניסה תחתון,-2,כניסה,-10,0,-2
3,אודיטוריום,-2,אולם,-40,0,-2
4,מעלית 0,0,תשתית,2,0,0
5,פינת ישיבה,0,ישיבה,-5,6,0
6,פינת למידה 0,0,למידה,16,0,0
7,מרכז שירות,0,שירות,24,3,0
8,מרכז מודיעין,0,שירות,0,8,0
9,קפיטריה,0,מזון,15,25,0
10,בית כנסת,0,שירות,15,35,0
11,מחשוב,0,שירות,35,25,0
12,גן עוזי,0,חוץ,30,30,0
13,אגודה,0,שירות,35,-10,0
14,כניסה 0,0,כניסה,32,35,0
15,שער רכבים,0,כניסה,200,35,0
16,שער בית הכרם,0,כניסה,-50,45,0
17,שער ראשי,0,כניסה,-15,30,0
18,שירותים -2,-2,שירות,0,0,-2
19,שירותים -1,-1,שירות,0,0,-1
20,שירותים 0,0,מרכזי,0,0,0
21,שירותים 1,1,שירות,0,0,1
22,שירותים 2,2,שירות,0,0,2
23,שירותים 3,3,שירות,0,0,3
24,c-103,-1,כיתה,-8,0,-1
25,c-104,-1,כיתה,-12,0,-1
26,c-105,-1,כיתה,-16,0,-1
27,c-106,-1,כיתה,-20,0,-1
28,c102,1,כיתה,8,0,1
29,c103,1,כיתה,12,0,1
30,c104,1,כיתה,16,0,1
31,c105,1,כיתה,20,0,1
32,c106,1,כיתה,24,0,1
33,c107,1,כיתה,28,0,1
34,c108,1,כיתה,32,0,1
35,c109,1,כיתה,36,0,1
36,c110,1,כיתה,40,0,1
37,c202,2,כיתה,8,0,2
38,c203,2,כיתה,12,0,2
39,c204,2,כיתה,16,0,2
40,c205,2,כיתה,20,0,2
41,c206,2,כיתה,24,0,2
42,c207,2,כיתה,28,0,2
43,c208,2,כיתה,32,0,2
44,c209,2,כיתה,36,0,2
45,c210,2,כיתה,40,0,2
46,פינת למידה 3,3,למידה,-19,0,3
47,ספריה,3,שירות,-10,0,3
48,מעלית -2,-2,תשתית,2,0,-2
53,מעלית -3,-3,תשתית,2,0,-3
49,מעלית -1,-1,תשתית,2,0,-1
50,מעלית 1,1,תשתית,2,0,1
51,מעלית 2,2,תשתית,2,0,2
52,מעלית 3,3,תשתית,2,0,3
